2375,ギグワークス,80億,84.5,2.98,0.95,サービス業
2376,サイネックス,43億,9.72,4.98,2.67,サービス業
2378,ルネサンス,227億,28.76,6.12,1.29,サービス業
2379,ディップ,1658億,16.76,23.9,17.68,サービス業
2384,SBS HD,957億,9.12,12.45,3.36,陸運業
2385,総医研 HD,36億,,,,サービス業
2388,ウェッジ HD,29億,,,,その他金融業
2389,デジタル HD,162億,12.49,4.08,2.62,サービス業
2391,プラネット,82億,23.68,6.45,5.34,サービス業
2393,日本ケアサプライ,312億,16.61,11.39,6.84,サービス業
2395,新日本科学,472億,12.06,11.77,4.8,サービス業
2397,DNAチップ研究所,50億,78.15,9.13,6.91,サービス業
2404,鉄人化 HD,58億,209.03,14.64,0.64,サービス業
2408,KG情報,43億,21.63,3.39,2.98,サービス業
2410,キャリアデザインセンター,101億,7.53,22.72,12.68,サービス業
2411,ゲンダイエージェンシー,44億,20.41,5.48,4.17,情報・通信業
2413,エムスリー,9126億,20.16,12.86,9.22,サービス業
2415,ヒューマン HD,143億,6.51,13.97,4.31,サービス業
2418,ツカダ・グローバルホールディング,191億,3.71,16.85,4.85,サービス業
2424,ブラス,32億,8.3,9.69,3.39,サービス業
2425,ケアサービス,35億,7.32,16.56,11.13,サービス業
2427,アウトソーシング,2204億,42.69,5.75,1.22,サービス業
2428,ウェルネット,154億,15.03,12.08,3.68,サービス業
2429,ワールド HD,343億,7.2,11.73,2.91,サービス業
2432,ディー・エヌ・エー,1962億,,,,サービス業
2433,博報堂DY HD,4624億,29.05,3.9,1.57,サービス業
2435,シダー,23億,8.19,24.91,1.33,サービス業
2436,共同ピーアール,57億,9.78,18.35,10.65,サービス業
2437,Shinwa Wise HD,31億,7.57,12.71,9.63,サービス業
2438,アスカネット,92億,26.36,5.57,4.92,サービス業
2440,ぐるなび,208億,158.9,2.02,1.2,サービス業
2445,タカミヤ,205億,10.27,9.32,2.82,サービス業
2449,プラップジャパン,41億,9.05,8.9,6.36,サービス業
2454,オールアバウト,52億,,,,サービス業
2459,アウンコンサルティング,13億,,,,サービス業
2461,ファンコミュニケーションズ,310億,17.11,8.95,6.85,サービス業
2462,ライク,293億,10.99,14.87,6.49,サービス業
2464,AobaーBBT,45億,14.59,6.44,3.56,サービス業
2467,バルク HD,30億,3.1,592.67,128.91,サービス業
2468,フュートレック,18億,,,,サービス業
2469,ヒビノ,347億,17.22,18.79,4.9,サービス業
2471,エスプール,278億,15.2,21.72,4.86,サービス業
2475,WDB HD,342億,11.27,9.98,7.46,サービス業
2477,手間いらず,227億,22.8,15.19,14.28,サービス業
2479,ジェイテック,19億,9.52,16.31,9.09,サービス業
2480,システム・ロケーション,49億,12.48,10.94,9.03,サービス業
2481,タウンニュース社,43億,10.1,8.79,7.76,サービス業
2483,翻訳センター,60億,8.41,11.7,9.01,サービス業
2484,出前館,341億,,,,情報・通信業
2485,ティア,101億,14.6,8.57,2.62,サービス業
2487,CDG,104億,29.17,5.45,4.57,サービス業
2488,JTP,63億,12.16,15.35,9.63,サービス業
2489,アドウェイズ,144億,23.25,4.07,2.48,サービス業
2491,バリューコマース,375億,8.73,22.32,14.54,サービス業
2492,インフォマート,822億,133.1,5.03,3.8,サービス業
2493,イーサポートリンク,41億,54.14,2.22,1.45,サービス業
2497,ユナイテッド,327億,13.42,11.36,8.85,サービス業
2498,オリエンタルコンサルタンツ HD,266億,10.07,10.43,4.04,サービス業
2499,日本和装 HD,26億,15.27,5.02,1.88,サービス業
2501,サッポロ HD,5846億,57.82,4.92,1.45,食料品
2502,アサヒグループ HD,2兆7712億,14.35,6.82,3.38,食料品
2503,キリン HD,1兆9742億,15.35,8.83,3.64,食料品
2531,宝 HD,2280億,13.12,7.37,3.91,食料品
2533,オエノン HD,254億,11.16,8.92,3.57,食料品
2540,養命酒製造,377億,47.93,1.41,1.21,食料品
2551,マルサンアイ,87億,14.45,9.41,2.36,食料品
2573,北海道コカ・コーラボトリング,362億,27.91,3.14,2.53,食料品
2579,コカ・コーラボトラーズジャパン HD,4267億,53.85,1.48,0.82,食料品
2585,ライフドリンクカンパニー,964億,25.04,32.57,10.83,食料品
2586,フルッタフルッタ,48億,,,,食料品
2587,サントリー食品インターナショナル,1兆6849億,19.94,7.03,4,食料品
2588,プレミアムウォーター HD,838億,17.83,20.66,4.67,食料品
2590,ダイドーグループ HD,974億,18.92,5.3,2.46,食料品
2593,伊藤園,2835億,16.31,9.63,4.88,食料品
2594,キーコーヒー,462億,87.28,1.61,0.87,食料品
2597,ユニカフェ,128億,47.5,4.17,1.99,食料品
2599,ジャパンフーズ,124億,13.84,9.45,4.03,食料品
2602,日清オイリオグループ,1743億,11.56,7.78,3.59,食料品
2607,不二製油G,2856億,28.04,4.17,1.83,食料品
2612,かどや製油,344億,16.84,5.82,4.77,食料品
2613,J-オイルミルズ,640億,12.65,4.86,2.82,食料品
2651,ローソン,1兆360億,19.82,18.31,2.27,小売業
2652,まんだらけ,151億,10.27,12.58,7.49,小売業
2653,イオン九州,1007億,19.26,10.3,2.9,小売業
